Date,IGE,EWA,EWC
7/26/2007,33.52779,28.48,30.16
7/27/2007,32.940559,27.5,29.700001
7/30/2007,33.298943,28.129999,29.83
7/31/2007,33.166607,28.040001,29.860001
8/1/2007,32.91021,27.540001,29.59
8/2/2007,32.830261,27.799999,30.18
8/3/2007,31.625462,26.799999,29.6
8/6/2007,31.730232,27.48,29.459999
8/7/2007,32.309189,27.719999,29.530001
8/8/2007,33.075638,28.49,30.200001
8/9/2007,32.072086,27.290001,29.290001
8/10/2007,32.347797,27.35,29.370001
8/13/2007,32.270592,27.41,29.299999
8/14/2007,31.832233,26.370001,28.549999
8/15/2007,30.936213,25.209999,27.870001
8/16/2007,30.685328,24.139999,27.52
8/17/2007,31.432474,24.93,28.42
8/20/2007,31.567566,25.85,28.68
8/21/2007,31.291866,25.75,28.790001
8/22/2007,31.810173,26.6,29.280001
8/23/2007,32.047283,27.42,29.48
8/24/2007,32.615223,27.85,29.77
8/27/2007,32.339512,27.65,29.5
8/28/2007,31.49037,26.83,28.74
8/29/2007,32.433254,27.780001,29.84
8/30/2007,32.350544,27.120001,29.42
8/31/2007,32.808212,27.940001,29.9
9/4/2007,33.519505,28.469999,30.290001
9/5/2007,33.411999,27.6,30.07
9/6/2007,33.811745,28.34,30.24
9/7/2007,33.442318,27.809999,29.969999
9/10/2007,33.232784,27.84,29.84
9/11/2007,33.756607,28.870001,30.309999
9/12/2007,33.946842,28.549999,30.68
9/13/2007,34.261139,28.889999,30.9
9/14/2007,34.354881,28.940001,31.09
9/17/2007,34.263905,28.41,31.08
9/18/2007,35.377716,29.34,31.93
9/19/2007,35.482498,29.99,31.76
9/20/2007,35.669971,30.02,31.940001
9/21/2007,35.849171,30.200001,32.16
9/24/2007,35.697536,30.530001,32.169998
9/25/2007,35.31155,30.959999,32.27
9/26/2007,35.341099,31.299999,32.369999
9/27/2007,35.697239,31.549999,32.669998
9/28/2007,35.545403,31.790001,32.73
10/1/2007,36.000931,32.59,33.150002
10/2/2007,35.752457,32.259998,32.889999
10/3/2007,35.393547,32.130001,32.560001
10/4/2007,35.619949,32.09,32.950001
10/5/2007,35.879452,32.639999,33.580002
10/8/2007,35.476364,32.200001,33.43
10/9/2007,36.103077,33.060001,33.59
10/10/2007,36.434372,33.02,33.77
10/11/2007,36.486832,33.25,33.720001
10/12/2007,36.68285,33.48,34.23
10/15/2007,37.083157,33,33.73
10/16/2007,36.969971,32.330002,33.419998
10/17/2007,36.88438,32.419998,33.799999
10/18/2007,37.188068,33.099998,34.470001
10/19/2007,35.691715,31.83,33.560001
10/22/2007,35.330063,31.92,33.650002
10/23/2007,35.826996,32.77,33.779999
10/24/2007,35.965031,32.860001,33.82
10/25/2007,36.390202,32.950001,33.900002
10/26/2007,36.895447,33.919998,34.540001
10/29/2007,37.177048,34.32,35.150002
10/30/2007,36.136215,33.84,34.810001
10/31/2007,37.083157,34.709999,36.080002
11/1/2007,36.257679,33.380001,35.130001
11/2/2007,36.88438,33.740002,35.91
11/5/2007,36.5807,33,35.650002
11/6/2007,37.569069,33.669998,36.419998
11/7/2007,36.5807,33.110001,35.549999
11/8/2007,36.818134,33.400002,35
11/9/2007,36.172089,32.209999,34.240002
11/12/2007,34.476967,30.76,32.669998
11/13/2007,35.145077,32.240002,33.459999
11/14/2007,35.238953,32.25,33.259998
11/15/2007,34.289246,31.26,31.9
11/16/2007,34.797222,31.639999,32.330002
11/19/2007,34.189835,30.84,31.52
11/20/2007,34.998768,31.4,32.009998
11/21/2007,34.349968,30.190001,31.209999
11/23/2007,34.943531,30.559999,31.85
11/26/2007,34.280952,30.1,31.93
11/27/2007,33.841976,30.65,31.42
11/28/2007,34.485252,31.65,32.299999
11/29/2007,34.758564,31.360001,32.41
11/30/2007,34.755806,31.639999,31.91
12/3/2007,34.990486,31.51,31.799999
12/4/2007,34.631565,31.09,31.200001
12/5/2007,35.194771,31.48,31.610001
12/6/2007,36.133453,32.080002,31.940001
12/7/2007,36.199711,31.76,32.07
12/10/2007,36.456451,32.369999,32.27
12/11/2007,35.481899,31.52,31.4
12/12/2007,36.332226,31.9,31.709999
12/13/2007,36.321178,31.67,31.450001
12/14/2007,35.818714,30.32,31.280001
12/17/2007,34.89661,29.200001,31.030001
12/18/2007,35.407349,29.34,31
12/19/2007,35.633739,29.200001,31.17
12/20/2007,36.028542,27.950001,31.299999
12/21/2007,36.94236,28.719999,31.959999
12/24/2007,37.17979,29,32.099998
12/26/2007,37.563541,29.030001,32.220001
12/27/2007,37.536983,28.84,32.200001
12/28/2007,37.642117,29.120001,32.540001
12/31/2007,37.177322,28.82,32.119999
1/2/2008,37.75555,28.780001,32.400002
1/3/2008,38.109673,28.92,32.540001
1/4/2008,36.944935,28.09,31.73
1/7/2008,36.505058,28.02,31.280001
1/8/2008,36.131565,27.77,31.09
1/9/2008,36.513359,28.120001,31.17
1/10/2008,36.408222,28.540001,31.299999
1/11/2008,35.979401,27.67,30.799999
1/14/2008,36.651684,28.139999,31.07
1/15/2008,35.351391,27,30.23
1/16/2008,34.07877,26.639999,29.41
1/17/2008,32.678867,25.709999,28.559999
1/18/2008,32.750805,26.09,28.530001
1/22/2008,32.048092,24.860001,28.360001
1/23/2008,31.954037,24.9,28.65
1/24/2008,33.19899,25.950001,29.58
1/25/2008,32.941708,26.790001,29.639999
1/28/2008,33.55312,27.25,29.58
1/29/2008,33.766125,26.860001,30.200001
1/30/2008,33.674843,26.200001,30.25
